,Unnamed: 0,app,size,price,rating_count,rating_count_ver,rating,rating_ver,content,category,free,less or equal $2,$2-$5,greater than $5
2963,2963,"RainbowKey - Color keyboard themes, fonts & GIF",1.9352855275896776,0.0,23063,101,4.5,4.5,4+,Utilities,1,0,0,0
6135,6135,The Secret To Money,1.410186528657109,4.99,715,118,4.5,4.5,4+,Lifestyle,0,0,1,0
6607,6607,Ellen's Emoji Exploji,1.6312509319280308,1.99,127,13,2.5,3.0,4+,Entertainment,0,1,0,0
3561,3561,pixivコミック - みんなのマンガアプリ,1.9664092696195756,0.0,12,0,3.5,0.0,17+,Books & Reference,1,0,0,0
680,680,QQ音乐-来这里“发现・音乐”,2.189071819448349,0.0,745,7,3.5,5.0,4+,Entertainment,1,0,0,0
421,421,Real英会話,1.904196028316681,3.99,45,12,4.5,4.5,12+,Education,0,0,1,0
4020,4020,Trick Shot,2.0229765641477884,1.99,816,339,4.5,4.5,4+,Games,0,1,0,0
6303,6303,"Prisma: Photo Editor, Art Filters Pic Effects",1.8833377225729229,0.0,15060,97,4.5,4.0,9+,Photo & Video,1,0,0,0
974,974,Elmo Calls,1.9424148584063041,1.99,1915,38,4.0,4.5,4+,Games,0,1,0,0
4202,4202,Scribblenauts Unlimited,2.75427951599211,4.99,1350,325,4.0,4.5,9+,Games,0,0,1,0
1409,1409,SpellingCity,2.0394577447411084,0.0,1566,402,3.5,3.5,4+,Education,1,0,0,0
6814,6814,Break Liner,2.133957034798474,0.0,721,349,4.0,4.0,4+,Games,1,0,0,0
3380,3380,Within - VR (Virtual Reality),2.073963831421618,0.0,343,3,4.0,3.0,12+,Entertainment,1,0,0,0
4211,4211,Mystery Trackers: Nightsville Horror HD - A Hidden Object Adventure (Full),2.99344416677096,6.99,72,72,4.5,4.5,9+,Games,0,0,0,1
4164,4164,Explore Daniel Tiger's Neighborhood,2.5147057699137725,2.99,92,5,3.5,4.0,4+,Education,0,0,1,0
3904,3904,FUT Wager,1.6360664362994952,1.99,33,3,3.5,2.5,17+,Sports,0,1,0,0
1328,1328,"Pixlr - Photo Collages, Effects, Overlays, Filters",1.868521008351567,0.0,2099,4,4.0,3.5,4+,Photo & Video,1,0,0,0
2238,2238,"Ebates: Cash Back, Coupons & Rebate Shopping App",2.0337413177266774,0.0,12617,99,5.0,4.5,4+,Shopping,1,0,0,0
4600,4600,Flower Girl - Crazy Wedding Day,2.025092762866898,0.0,409,22,4.5,4.5,4+,Games,1,0,0,0
4757,4757,Peppa Pig: Seasons - Autumn and Winter,3.1290050487464387,2.99,17,0,3.0,0.0,4+,Games,0,0,1,0
1678,1678,"SeatGeek – Tickets to Sports, Concerts & Broadway",1.8337589020923553,0.0,6088,196,4.5,5.0,4+,Entertainment,1,0,0,0
7156,7156,ＣＲスーパー海物語ＩＮ沖縄４,3.5444997665798352,9.99,0,0,0.0,0.0,12+,Games,0,0,0,1
3055,3055,JCPenney,2.0541609079065717,0.0,1661,82,3.5,4.0,4+,Shopping,1,0,0,0
5921,5921,新・血液型テスト,0.8711057009855854,0.0,0,0,0.0,0.0,4+,Books & Reference,1,0,0,0
571,571,Black Friday 2017 Ads App - BlackFriday.fm,1.3672813576329432,0.0,8221,0,4.5,0.0,4+,Shopping,1,0,0,0
4245,4245,Black Hole -世の中で最も困難な物理げーむ ぱずる-,2.17160360551739,0.0,0,0,0.0,0.0,4+,Games,1,0,0,0
3307,3307,SOUND Canvas,1.8689557964129486,19.99,36,7,4.0,2.5,4+,Entertainment,0,0,0,1
2803,2803,Mail Master by NetEase,2.1055612752331707,0.0,361,1,4.0,5.0,4+,Productivity,1,0,0,0
6485,6485,Bridge,2.0036113026306888,0.0,128,32,4.0,4.0,4+,Games,1,0,0,0
6794,6794,Bully: Anniversary Edition,3.3826282286877394,6.99,1334,305,4.5,4.5,12+,Games,0,0,0,1
2192,2192,Royal Revolt 2 – Defend Your Castle,2.1660539769152365,0.0,25152,153,4.5,5.0,9+,Games,1,0,0,0
4967,4967,ごちうさアラーム　～ココア編～,1.398721036025533,5.99,0,0,0.0,0.0,9+,Entertainment,0,0,0,1
5644,5644,OctoPie - a Game Shakers App,2.4223484980937275,0.0,374,182,4.0,4.5,4+,Games,1,0,0,0
3354,3354,Boom Boom Soccer,2.2297586112213734,0.0,91,91,3.0,3.0,9+,Games,1,0,0,0
3007,3007,ContactsXL 2016,0.6587743208443567,0.99,61,1,2.5,1.0,4+,Productivity,0,1,0,0
5960,5960,Pan Book 6: The Alliance of Tribes,2.886635089990267,5.99,0,0,0.0,0.0,4+,Books & Reference,0,0,0,1
389,389,The Impossible Game,1.1510939227850614,0.99,9885,10,4.0,4.0,4+,Games,0,1,0,0
1742,1742,bloxorz,1.4512028920571125,0.99,56,17,4.0,4.0,4+,Games,0,1,0,0
4907,4907,Tchapper Messenger - Keep it private,1.9148031280661078,0.0,0,0,0.0,0.0,4+,Lifestyle,1,0,0,0
147,147,Sonic The Hedgehog,1.5645832208914816,2.99,19621,1191,4.0,4.5,4+,Games,0,0,1,0
5744,5744,Block! Hexa Puzzle,2.121973261145805,0.0,28524,1307,4.5,4.5,4+,Games,1,0,0,0
3419,3419,Ys Chronicles 1,2.653463367014262,4.99,118,43,4.0,4.0,9+,Games,0,0,1,0
